name,slug,sku,barcode,description,shortDescription,price,comparePrice,costPrice,stockQuantity,lowStockThreshold,categoryId,brandId,status,isFeatured,isNewArrival,isOnPromotion,tags,images,netWeight,unitsPerCarton,origin,weight,isHalal,isOrganic,isKosher,isVegan,isGlutenFree,naifdaNumber,storageInstructions,ingredients,allergens,isScalable,scaleUnit,pricePerUnit,minOrderQty,maxOrderQty,scaleStep,scalePresets,scaleWareCode,variations
New Park Emmental Cream cheese,new-park-emmental-cream-cheese,N-A45F4,6215000474650,,,4900,,,0,10,6a2aa16e1db676e4fc7589db,,ACTIVE,,,,,,,,,1,,,,,,,,,,,,,,,,,,[]
BBQ PEANUTS 40G,bbq-peanuts-40g,B-DA0C7,8423371003227,,,1000,,,96,10,69e5aa3e40cdaab22a0a1af4,69e5aa5940cdaab22a0a1b0b,ACTIVE,,,,,https://res.cloudinary.com/nigittriple/image/upload/v1786711191/nigittriple/general/qr1fb7ioqmocrsk0z0uj.jpg,,,,1,,,,,,,,,,,,,,,,,,[]
PENUTS AND CASHEWS 60G,penuts-and-cashews-60g,P-5ED71,8423371004354,,,1000,,,94,10,69e5aa3e40cdaab22a0a1af4,69e5aa5940cdaab22a0a1b0b,ACTIVE,,,,,https://res.cloudinary.com/nigittriple/image/upload/v1786711372/nigittriple/general/m6danbwhvxdnivnkmmls.jpg,,,,1,,,,,,,,,,,,,,,,,,[]
ROASTED SALTED CORN BBQ 35GR,roasted-sslted-corn-bbq-35gr,R-3950C,8423371005481,,,1000,,,95,10,69e5aa3e40cdaab22a0a1af4,69e5aa5940cdaab22a0a1b0b,ACTIVE,,,,,https://res.cloudinary.com/nigittriple/image/upload/v1786711428/nigittriple/general/ubphus83zlcivvyqqok5.jpg,,,,1,,,,,,,,,,,,,,,,,,[]
NUTS COCKTAIL SPICY 50G,nuts-cocktail-spicy-50g,N-85CE9,8423371005078,,,1000,,,95,10,69e5aa3e40cdaab22a0a1af4,69e5aa5940cdaab22a0a1b0b,ACTIVE,,,,,https://res.cloudinary.com/nigittriple/image/upload/v1786711481/nigittriple/general/fxhoghuvqzgfvctgyj1d.jpg,,,,1,,,,,,,,,,,,,,,,,,[]
COUNTRY NUTS MIX 45G,country-nuts-mix-45g,C-23F7B,8423371005795,,,1000,,,96,10,69e5aa3e40cdaab22a0a1af4,69e5aa5940cdaab22a0a1b0b,ACTIVE,,,,,https://res.cloudinary.com/nigittriple/image/upload/v1786711512/nigittriple/general/jnan9pi1axikkrrntm9a.jpg,,,,1,,,,,,,,,,,,,,,,,,[]
SPICY PEANUTS 60G,soicy-peanuts-60g,S-C5F74,8423371000585,,,1000,,,96,10,69e5aa3e40cdaab22a0a1af4,69e5aa5940cdaab22a0a1b0b,ACTIVE,,,,,https://res.cloudinary.com/nigittriple/image/upload/v1786711552/nigittriple/general/yl0plmgg6zhl3hqlbaes.jpg,,,,1,,,,,,,,,,,,,,,,,,[]
NATURAL NUTS COCKTAIL 50G,natural-nuts-cocktail-50g,N-B39E1,8423371006686,,,1000,,,94,10,69e5aa3e40cdaab22a0a1af4,69e5aa5940cdaab22a0a1b0b,ACTIVE,,,,,https://res.cloudinary.com/nigittriple/image/upload/v1786711606/nigittriple/general/ci74kakbkxlpdiadxbxv.jpg,,,,1,,,,,,,,,,,,,,,,,,[]
ROASTED PEANUTS HOT AND SPICY 40G,roasted-peanuts-hot-and-spicy-40g,R-6C68A,8423371001759,,,1000,,,96,10,69e5aa3e40cdaab22a0a1af4,69e5aa5940cdaab22a0a1b0b,ACTIVE,,,,,https://res.cloudinary.com/nigittriple/image/upload/v1786711638/nigittriple/general/fdmwuicodfj9oyhqn2wv.jpg,,,,1,,,,,,,,,,,,,,,,,,[]
HOME MADE FULL CAKE SLICED 1300G,home-made-cake-sliced-1300g,HOMMADCA-E5508,100000140,,,60000,,,1,10,6a2a6b7bf5efd5779068f007,6a2a6d1dcdf34ea4f4c6f5f7,ACTIVE,,,,,https://res.cloudinary.com/nigittriple/image/upload/v1786625133/nigittriple/general/nnth0zoscu0oclkob6ax.jpg,,,,1,,,,,,,,,,,,,,,,,,[]
CHILLI PEPPER THREADS 40GR,chilli-pepper-threads-40gr,CHIPEPTH-26EE1,8006614651395,,,34100,,,4,1,69e5aa4840cdaab22a0a1afc,6a79cd8b92aa137c62661973,ACTIVE,,,,,https://res.cloudinary.com/nigittriple/image/upload/v1786371369/nigittriple/general/wqfirudfydisz7swwk5i.jpg,,,,1,,,,,,,,,,,,,,,,,,[]
LAVENDER FLOWER 45GR,lavender-flower-45gr,LAVFLO45-A442A,8006614645165,,,34100,,,5,1,69e5aa4840cdaab22a0a1afc,6a79cd8b92aa137c62661973,ACTIVE,,,,,https://res.cloudinary.com/nigittriple/image/upload/v1786371386/nigittriple/general/gwvd9zxfihc6bizf2jpy.jpg,,,,1,,,,,,,,,,,,,,,,,,[]
