submittedAt,name,category,subcategory,brand,description,price,costPrice,stockQuantity,unit,status,isFeatured,imageUrl,barcode,weightInGrams,shortDescription,netWeight,packageSize,unitsPerCarton,origin,ingredients,allergens,nutritionalInfo,servingSize,servingsPerPack,storageInstructions,shelfLifeDays,requiresRefrigeration,requiresFreezing,isOrganic,isHalal,isKosher,isVegan,isGlutenFree,nafdacNumber,tags
01/04/2026 11.39.39,Ovaltine Malted Food Drink 400g,Beverages,Malted Food Drink,Ovaltine,"Ovaltine Malted Food Drink 400g is a nourishing malted cocoa beverage trusted by families worldwide. Fortified with 12 essential vitamins and minerals including Vitamin D and Iron. Enjoy hot or cold, mixed with milk for a delicious energy boost any time of day.",4600,4650,19,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605006/claude/ovaltine-malted-food-drink-400g-066232.jpg,7612100066232,,Ovaltine Malted Food Drink – a classic malted chocolate beverage rich in vitamins and minerals. Perfect hot or cold.,400g,Tin,12,UK,"Malted barley, whey powder, sugar, cocoa powder, vitamins and minerals",Gluten|Dairy|Soy,"{""calories"": 388, ""protein_g"": 14, ""carbs_g"": 71, ""fat_g"": 5, ""fiber_g"": 1.5, ""sodium_mg"": 240}",25g per serving,~16 servings,"Store in a cool, dry place. Reseal after opening.",730,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,malted drink|hot drink|cocoa|vitamins|ovaltine|energy drink
01/04/2026 13.55.38,Granulated White Sugar 250gm,Beverages,Sugar,Sunola Foods,"Sunola Granulated White Sugar 250g is a pure, fine white sugar with no additives. Dissolves quickly in hot or cold drinks and is perfect for all your baking and cooking needs.",700,780,18,Pack,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605014/claude/granulated-white-sugar-250gm-858500.jpg,0714084858500,,"Fine granulated white sugar for everyday baking, cooking, and sweetening your favourite drinks.",250g,Pack,24,Nigeria,Refined white granulated sugar,,"{""calories"": 400, ""protein_g"": 0, ""carbs_g"": 100, ""fat_g"": 0, ""fiber_g"": 0, ""sodium_mg"": 1}",5g (1 tsp),~50 servings,"Store in a cool, dry place away from direct sunlight",730,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,sugar|granulated sugar|baking|sweetener
01/04/2026 14.12.08,Golden Penny White Cube Sugar,Beverages,Cube Sugar,Golden Penny Foods,Golden Penny White Cube Sugar offers premium quality refined sugar in convenient cube form. Ideal for hot beverages like tea and coffee. Each cube dissolves cleanly and evenly.,1500,1540,10,Pack,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605023/claude/golden-penny-white-cube-sugar-051512.jpg,6156000051512,,"Golden Penny White Cube Sugar – perfectly portioned sugar cubes for tea, coffee, and baking.",500g,Pack,24,Nigeria,Refined white sugar,,"{""calories"": 400, ""protein_g"": 0, ""carbs_g"": 100, ""fat_g"": 0, ""fiber_g"": 0, ""sodium_mg"": 1}",1 cube (~4g),~125 cubes,"Store in a cool, dry place away from direct sunlight",730,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,sugar|cube sugar|sweetener|baking|golden penny
01/04/2026 14.33.25,Pipas Peladas,Snacks,Kernels,Salysol,"Salysol Pipas Peladas is a high-quality Spanish snack, packed fresh in a convenient tin for maximum shelf life and taste.",900,1000,85,Tin,Active,Yes,,8423371000486,,Salysol premium Spanish snack – Kernels in a convenient tin.,60g,Tin,24,Spain,,,,See packaging,See packaging,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,snack|Salysol|Spanish|kernels
01/04/2026 14.57.56,Chicle Bolas 50g,Snacks,Gum,Salysol,"Salysol Chicle Bolas are brightly coloured gumball-style chewing gums packed in a compact tin. Fun for all ages and great to keep in bags, cars, or on your desk.",900,1000,100,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605033/claude/chicle-bolas-50g-000592.jpg,8423371000592,,Salysol Chewing Gum Balls – a colourful assortment of bubble gum balls in a handy tin.,60g,Tin,24,Spain,,Gluten,"{""calories"": 180, ""protein_g"": 0, ""carbs_g"": 45, ""fat_g"": 0, ""fiber_g"": 0, ""sodium_mg"": 10}",10g,~5 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,gum|bubble gum|candy|Salysol
01/04/2026 15.08.03,Jelly Beans,Snacks,Chocolate,Salysol,"Salysol Jelly Beans come in a variety of vibrant fruit flavours packed in a collectible tin. A colourful, chewy treat perfect for snacking and sharing.",900,1000,40,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605041/claude/jelly-beans-002299.jpg,8423371002299,,Salysol Jelly Beans – assorted fruit-flavoured jelly beans in a fun and shareable tin.,60g,Tin,24,Spain,,Gluten,"{""calories"": 350, ""protein_g"": 0, ""carbs_g"": 87, ""fat_g"": 0, ""fiber_g"": 0, ""sodium_mg"": 80}",30g,~2 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,jelly beans|candy|sweets|snack|Salysol
01/04/2026 15.13.11,Almendras Tostadas,Snacks,Nuts,Salysol,Salysol Roasted Almonds are carefully selected and roasted to bring out their natural nutty flavour. Rich in Vitamin E and healthy monounsaturated fats. A great on-the-go snack or topping for salads and desserts.,900,1000,500,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605049/claude/almendras-tostadas-000547.jpg,8423371000547,,"Salysol Almonds – crispy roasted almonds, a nutritious and satisfying snack rich in healthy fats.",60g,Tin,24,Spain,,Tree Nuts,"{""calories"": 579, ""protein_g"": 21, ""carbs_g"": 22, ""fat_g"": 50, ""fiber_g"": 12, ""sodium_mg"": 200}",30g,~2 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,almonds|nuts|roasted almonds|snack|Salysol
01/04/2026 15.18.30,Cóctel,Snacks,Nuts,Salysol,"Salysol Cocktail Mix is a gourmet selection of roasted mixed nuts and seeds, perfectly salted. Great for entertaining, gifting, or enjoying on the go.",900,1000,60,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605059/claude/c-ctel-000462.jpg,8423371000462,,Salysol Mixed Nut Cocktail – a premium blend of roasted mixed nuts for the perfect party snack.,60g,Tin,24,Spain,,Peanuts|Tree Nuts,"{""calories"": 555, ""protein_g"": 18, ""carbs_g"": 25, ""fat_g"": 45, ""fiber_g"": 7, ""sodium_mg"": 300}",30g,~2 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,mixed nuts|cocktail nuts|snack|Salysol
01/04/2026 15.23.33,Cacahuetes Chocolate Colores,Snacks,Nuts,Salysol,Salysol Salted Peanuts are roasted to perfection and lightly salted for the ideal snack. Packed in a convenient tin to keep them fresh and crunchy. A protein-rich snack great for any occasion.,900,1000,20,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605069/claude/cacahuetes-chocolate-colores-002442.jpg,8423371002442,60,Salysol salted peanuts – perfectly roasted and salted for an irresistible crunchy snack.,60g,Tin,24,Spain,,Peanuts,"{""calories"": 567, ""protein_g"": 25, ""carbs_g"": 20, ""fat_g"": 46, ""fiber_g"": 8, ""sodium_mg"": 350}",30g,~2 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,peanuts|salted peanuts|nuts|snack|Salysol
01/04/2026 15.29.55,Maíz Gigante,Snacks,Corn,Salysol,Salysol Giant Corn features oversized corn kernels roasted and seasoned for maximum crunch and flavour. A unique and filling snack that's great for sharing.,900,1000,30,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605078/claude/ma-z-gigante-000523.jpg,8423371000523,30,"Salysol Giant Corn – big, crunchy roasted giant corn kernels with a satisfying crunch.",30g,Tin,24,Spain,,Gluten,"{""calories"": 380, ""protein_g"": 8, ""carbs_g"": 68, ""fat_g"": 7, ""fiber_g"": 6, ""sodium_mg"": 350}",30g,~2 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,corn snack|giant corn|snack|Salysol
